ID,Client_Income,Credit_Amount,Loan_Annuity,Client_Gender,Client_Income_Type,Client_Country,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas
12100935,27000,67500,3375,Male,Govt Job,China,0,192,bmw,four,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,8.103448276,16925,10.2173913,Low,0,1
12191210,15750,149963.85,4397.85,Male,Service,USA,0,188,bmw,two,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2710,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,8.392857143,20970,11.19047619,Medium,0,1
12128498,27000,28440,1913.4,Female,Service,USA,0,188,bmw,four,sedan,rwd,front,101.2,0.849591543,0.9,0.908026756,2765,ohc,six,164,mpfi,3.31,3.19,9,121,4250,21,8.392857143,21105,11.19047619,Medium,0,1
12130196,8100,90000,3826.35,Male,Retired,China,1,122,bmw,four,sedan,rwd,front,103.5,0.908217203,0.929166667,0.931438127,3055,ohc,six,164,mpfi,3.31,3.19,9,121,4250,20,9.4,24565,11.75,Medium,0,1
12196064,22500,100424.7,4666.5,Male,Service,USA,0,122,bmw,four,sedan,rwd,front,103.5,0.908217203,0.929166667,0.931438127,3230,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,10.68181818,30760,14.6875,Medium,0,1
12105180,45000,105493.5,4482.45,Female,Commercial,Japan,0,122,bmw,two,sedan,rwd,front,103.5,0.931283037,0.943055556,0.897993311,3380,ohc,six,209,mpfi,3.62,3.39,8,182,5400,16,10.68181818,41315,14.6875,Medium,0,1
12121919,11250,29713.05,2234.25,Male,Service,USA,0,122,bmw,four,sedan,rwd,front,110,0.946660259,0.984722222,0.941471572,3505,ohc,six,209,mpfi,3.62,3.39,8,182,5400,15,11.75,36880,15.66666667,Medium,0,1
12114826,13500,18000,900,Female,Service,China,2,121,chevrolet,two,hatchback,fwd,front,88.4,0.678039404,0.8375,0.889632107,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,47,4.433962264,5151,5,Low,0,1
12106559,15750,45000,3007.35,Female,Service,India,1,98,chevrolet,two,hatchback,fwd,front,94.5,0.749159058,0.883333333,0.869565217,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,5.465116279,6295,6.184210526,Low,0,1
12186490,9000,22500,2191.95,Male,Service,Japan,0,81,chevrolet,four,sedan,fwd,front,94.5,0.763094666,0.883333333,0.869565217,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,38,5.465116279,6575,6.184210526,Low,0,1
12130242,18000,128835,4156.2,Male,Service,China,1,118,dodge,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.849498328,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,37,5.731707317,5572,6.351351351,Low,0,1
12141963,27000,38053.35,3064.05,Male,Service,India,1,118,dodge,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.849498328,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,6.184210526,6377,7.580645161,Low,0,1
12193649,15750,49121.1,4785.3,Male,Commercial,USA,1,118,dodge,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.849498328,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,7.833333333,7957,9.791666667,Low,0,1
12150320,18000,77368.05,3407.85,Male,Service,Japan,1,148,dodge,four,hatchback,fwd,front,93.7,0.755886593,0.886111111,0.846153846,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,6.184210526,6229,7.580645161,Low,0,1
12190554,19350,111384,4732.2,Male,Commercial,India,1,148,dodge,four,sedan,fwd,front,93.7,0.755886593,0.886111111,0.846153846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,6.184210526,6692,7.580645161,Low,0,1
12105063,22500,89660.25,4745.25,Female,Service,USA,1,148,dodge,four,sedan,fwd,front,93.7,0.755886593,0.886111111,0.846153846,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,6.184210526,7609,7.580645161,Low,0,1
12215890,31500,125640,3468.15,Female,Service,China,1,148,dodge,four,sedan,fwd,front,93.7,0.755886593,0.886111111,0.846153846,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,24,7.833333333,8558,9.791666667,Low,0,1
12185118,11250,17064,965.7,Male,Retired,USA,-1,110,dodge,four,wagon,fwd,front,103.3,0.839019702,0.897222222,1,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,24,7.833333333,8921,9.791666667,Low,0,1
12217297,21600,125956.35,5336.55,Male,Service,USA,3,145,dodge,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2811,ohc,four,156,mfi,3.6,3.9,7,145,5000,19,9.791666667,12964,12.36842105,Medium,0,1
12190755,27000,38152.8,1868.4,Female,Service,China,2,137,honda,two,hatchback,fwd,front,86.6,0.694858241,0.8875,0.849498328,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,49,4.351851852,6479,4.795918367,Low,0,1
12162956,20250,157500,8001,Male,Commercial,USA,2,137,honda,two,hatchback,fwd,front,86.6,0.694858241,0.8875,0.849498328,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,6.184210526,6855,7.580645161,Low,0,1
12108653,22500,43787.7,2248.65,Male,Service,Japan,1,101,honda,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,0.879598662,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,5.595238095,5399,6.184210526,Low,0,1
12199634,11250,18000,900,Male,Service,USA,1,101,honda,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,0.879598662,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,6.911764706,6529,7.833333333,Low,0,1
12190165,15750,20250,1306.8,Female,Service,China,1,101,honda,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,0.879598662,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,6.911764706,7129,7.833333333,Low,0,1
12191511,4500,15282,1709.55,Male,Service,India,0,110,honda,four,sedan,fwd,front,96.5,0.785199423,0.888888889,0.911371237,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,6.911764706,7295,7.833333333,Low,0,1
12184202,18000,67500,2615.4,Female,Service,Japan,0,78,honda,four,wagon,fwd,front,96.5,0.754925517,0.8875,0.974916388,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,6.911764706,7295,7.833333333,Low,0,1
12111337,35550,77968.8,3316.5,Male,Service,China,0,106,honda,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,0.891304348,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,7.121212121,7895,8.703703704,Low,0,1
12167766,32480.55,13500,675,Male,Commercial,India,0,106,honda,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,0.891304348,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,7.121212121,9095,8.703703704,Low,0,1
12158409,13500,201384,5325.3,Male,Retired,USA,0,85,honda,four,sedan,fwd,front,96.5,0.842864008,0.905555556,0.904682274,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,7.121212121,8845,8.703703704,Low,0,1
12111355,12150,25128,1712.7,Male,Service,Japan,0,85,honda,four,sedan,fwd,front,96.5,0.842864008,0.868055556,0.904682274,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,7.121212121,10295,8.703703704,Low,0,1
12117444,13950,80865,2621.7,Male,Service,India,0,85,honda,four,sedan,fwd,front,96.5,0.842864008,0.905555556,0.904682274,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,8.392857143,12945,9.791666667,Low,0,1
12129649,15750,60415.2,2572.65,Male,Retired,USA,1,107,honda,two,sedan,fwd,front,96.5,0.812590101,0.916666667,0.852842809,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,7.580645161,10345,9.4,Low,0,1
12156911,31500,52823.25,4248,Female,Service,China,0,122,isuzu,four,sedan,rwd,front,94.3,0.820278712,0.858333333,0.894648829,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,8.103448276,6785,9.791666667,Low,0,1
12217522,9000,9000,2621.7,Male,Service,USA,2,122,isuzu,two,hatchback,rwd,front,96,0.829408938,0.905555556,0.859531773,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,8.103448276,11048,9.791666667,Low,0,1
12214917,22500,82567.35,3511.35,Male,Retired,USA,0,145,jaguar,four,sedan,rwd,front,113,0.959154253,0.966666667,0.882943144,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,12.36842105,32250,15.66666667,Medium,0,1
12130231,22500,125640,4464.45,Female,Commercial,China,0,122,jaguar,four,sedan,rwd,front,113,0.959154253,0.966666667,0.882943144,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,12.36842105,35550,15.66666667,Medium,0,1
12179864,9000,28440,1338.75,Male,Retired,USA,0,122,jaguar,two,sedan,rwd,front,102,0.921191735,0.980555556,0.799331104,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,13.82352941,36000,18.07692308,High,0,1
12136962,24750,77702.4,4152.6,Male,Govt Job,Japan,1,104,mazda,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,0.904682274,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,7.580645161,5195,7.833333333,Low,0,1
12217931,18000,107820,3165.3,Male,Service,USA,1,104,mazda,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,0.904682274,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,6.184210526,6095,7.580645161,Low,0,1
12128804,17100,90000,2644.65,Female,Service,China,1,104,mazda,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,0.904682274,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,6.184210526,6795,7.580645161,Low,0,1
12197817,12600,28440,1601.1,Male,Retired,India,1,113,mazda,four,sedan,fwd,front,93.1,0.801537722,0.891666667,0.904682274,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,6.184210526,6695,7.580645161,Low,0,1
12102829,6750,40500,1539.9,Male,Service,Japan,1,113,mazda,four,sedan,fwd,front,93.1,0.801537722,0.891666667,0.904682274,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,6.184210526,7395,7.580645161,Low,0,1
12114200,54000,24750,1237.5,Female,Commercial,China,3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2380,rotor,two,70,4bbl,3.329751244,3.255422886,9.4,101,6000,17,10.2173913,10945,13.82352941,Low,0,1
12183711,22500,50326.65,4915.8,Male,Service,India,3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2380,rotor,two,70,4bbl,3.329751244,3.255422886,9.4,101,6000,17,10.2173913,11845,13.82352941,Low,0,1
12172556,11250,64008,3113.1,Male,Commercial,USA,3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2385,rotor,two,70,4bbl,3.329751244,3.255422886,9.4,101,6000,17,10.2173913,13645,13.82352941,Low,0,1
12183154,14400,21564,1681.65,Male,Service,Japan,3,150,mazda,two,hatchback,rwd,front,95.3,0.812109563,0.9125,0.829431438,2500,rotor,two,80,mpfi,3.329751244,3.255422886,9.4,135,6000,16,10.2173913,15645,14.6875,Medium,0,1
12218524,54000,39096,1996.2,Female,Retired,India,1,129,mazda,two,hatchback,fwd,front,98.8,0.854396925,0.923611111,0.897993311,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,7.34375,8845,9.038461538,Low,0,1
12169979,11250,31276.8,1377.45,Male,Service,USA,0,115,mazda,four,sedan,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,7.34375,8495,9.038461538,Low,0,1
12160926,12150,80865,2473.2,Male,Retired,China,1,129,mazda,two,hatchback,fwd,front,98.8,0.854396925,0.923611111,0.897993311,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,7.34375,10595,9.038461538,Low,0,1
12121159,9000,90000,2631.6,Male,Service,USA,0,115,mazda,four,sedan,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,7.34375,10245,9.038461538,Low,0,1
12113801,21600,112500,4779.45,Male,Service,USA,0,122,mazda,four,sedan,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,5.595238095,10795,6.527777778,Low,1,0
12162884,13500,22500,2225.25,Male,Service,China,0,115,mazda,four,hatchback,fwd,front,98.8,0.854396925,0.923611111,0.928093645,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,7.34375,11245,9.038461538,Low,0,1
12172063,13950,30600,1360.8,Male,Service,USA,0,118,mazda,four,sedan,rwd,front,104.9,0.840941855,0.918055556,0.909698997,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,8.703703704,18280,12.36842105,Medium,0,1
12147722,24750,103500,3039.3,Male,Service,Japan,0,122,mazda,four,sedan,rwd,front,104.9,0.840941855,0.918055556,0.909698997,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,6.025641026,18344,7.580645161,Low,1,0
12215412,11250,36000,2066.4,Male,Service,USA,-1,93,mercedes-benz,four,sedan,rwd,front,110,0.917347429,0.976388889,0.944816054,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,9.4,25552,10.68181818,Medium,1,0
12128358,21600,41702.4,2275.2,Male,Service,China,-1,93,mercedes-benz,four,wagon,rwd,front,110,0.917347429,0.976388889,0.981605351,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,9.4,28248,10.68181818,Medium,1,0
12121092,20250,123681.6,3616.2,Male,Service,India,0,93,mercedes-benz,two,hardtop,rwd,front,106.7,0.90100913,0.976388889,0.918060201,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,9.4,28176,10.68181818,Medium,1,0
12111542,18000,221522.4,6361.65,Female,Govt Job,Japan,-1,93,mercedes-benz,four,sedan,rwd,front,115.6,0.973570399,0.995833333,0.941471572,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,9.4,31600,10.68181818,Medium,1,0
12125863,6525,28440,1864.35,Male,Service,China,-1,122,mercedes-benz,four,sedan,rwd,front,115.6,0.973570399,0.995833333,0.944816054,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,13.05555556,34184,14.6875,Medium,0,1
12115176,11250,27000,2848.05,Male,Retired,India,3,142,mercedes-benz,two,convertible,rwd,front,96.6,0.86641038,0.979166667,0.849498328,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,13.05555556,35056,14.6875,Medium,0,1
12106543,11250,97038,3130.2,Female,Commercial,USA,0,122,mercedes-benz,four,sedan,rwd,front,120.9,1,0.995833333,0.948160535,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,14.6875,40960,16.78571429,Medium,0,1
12191159,7650,24750,1237.5,Male,Retired,Japan,1,122,mercedes-benz,two,hardtop,rwd,front,112,0.9572321,1,0.926421405,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,14.6875,45400,16.78571429,Medium,0,1
12139322,18000,36000,1800,Male,Commercial,India,1,122,mercury,two,hatchback,rwd,front,102.7,0.857280154,0.944444444,0.91638796,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,9.791666667,16503,12.36842105,Medium,0,1
12119933,22500,14391,3130.2,Male,Commercial,USA,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,0.849498328,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,5.731707317,5389,6.351351351,Low,0,1
12219323,13500,45000,2110.95,Male,Service,China,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,0.849498328,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,6.184210526,6189,7.580645161,Low,0,1
12205360,15750,15750,1158.75,Female,Service,USA,2,161,mitsubishi,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,0.849498328,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,6.184210526,6669,7.580645161,Low,0,1
12141227,15750,125640,3686.4,Male,Service,USA,1,161,mitsubishi,two,hatchback,fwd,front,93,0.755886593,0.886111111,0.849498328,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,7.833333333,7689,9.791666667,Low,0,1
12165204,18000,168726.6,6885,Female,Service,China,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.831331091,0.908333333,0.826086957,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,7.833333333,9959,10.2173913,Low,0,1
12181435,13500,31410,1644.3,Male,Commercial,USA,3,153,mitsubishi,two,hatchback,fwd,front,96.3,0.831331091,0.908333333,0.826086957,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,7.34375,8499,9.4,Low,0,1
12132473,18900,17064,1153.35,Female,Commercial,Japan,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,9.791666667,12629,12.36842105,Medium,0,1
12196486,18000,54504,1970.55,Male,Retired,USA,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,9.791666667,14869,12.36842105,Medium,0,1
12118447,8100,54000,2770.2,Male,Service,China,3,122,mitsubishi,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,0.839464883,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,9.791666667,14489,12.36842105,Medium,0,1
12203037,18000,45000,2250,Male,Commercial,India,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,7.34375,6989,9.4,Low,0,1
12148399,16200,123681.6,3629.25,Male,Service,Japan,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,7.34375,8189,9.4,Low,0,1
12115142,7200,26100,1511.1,Male,Service,China,1,125,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,7.833333333,9279,10.2173913,Low,0,1
12147105,9450,51856.2,2069.55,Male,Retired,India,-1,137,mitsubishi,four,sedan,fwd,front,96.3,0.828447862,0.908333333,0.862876254,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,7.833333333,9279,10.2173913,Low,0,1
12135345,7560,28670.4,1745.55,Male,Retired,USA,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6.351351351,5499,7.580645161,Low,0,1
12127656,22050,129350.25,3794.85,Male,Service,Japan,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,4.7,7099,5.222222222,Low,1,0
12122615,27000,52128,1998.45,Female,Commercial,India,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6.351351351,6649,7.580645161,Low,0,1
12114196,9900,24750,1021.05,Female,Service,USA,1,122,nissan,four,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6.351351351,6849,7.580645161,Low,0,1
12174291,18000,49182.3,2291.85,Female,Service,China,1,103,nissan,four,wagon,fwd,front,94.5,0.817876021,0.886111111,0.894648829,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6.351351351,7349,7.580645161,Low,0,1
12104416,9000,15282,1658.7,Male,Service,USA,1,128,nissan,two,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6.351351351,7299,7.580645161,Low,0,1
12199861,19350,67500,2615.4,Male,Commercial,USA,1,128,nissan,two,hatchback,fwd,front,94.5,0.795771264,0.886111111,0.891304348,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6.351351351,7799,7.580645161,Low,0,1
12121870,27000,76022.55,3233.7,Female,Service,China,1,122,nissan,four,sedan,fwd,front,94.5,0.794329649,0.886111111,0.911371237,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6.351351351,7499,7.580645161,Low,0,1
12192978,13500,22500,2362.5,Female,Commercial,USA,1,103,nissan,four,wagon,fwd,front,94.5,0.817876021,0.886111111,0.894648829,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6.351351351,7999,7.580645161,Low,0,1
12200098,15750,128835,3780,Male,Commercial,Japan,2,168,nissan,two,hardtop,fwd,front,95.1,0.780394041,0.886111111,0.891304348,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,6.351351351,8249,7.580645161,Low,0,1
12165536,9000,90568.8,2402.1,Male,Service,USA,0,106,nissan,four,hatchback,fwd,front,97.2,0.833253244,0.905555556,0.914715719,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,6.911764706,8949,8.703703704,Low,0,1
12102535,18000,34826.4,1833.75,Male,Retired,China,0,106,nissan,four,sedan,fwd,front,97.2,0.833253244,0.905555556,0.914715719,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,6.911764706,9549,8.703703704,Low,0,1
12118605,13500,54449.1,1769.4,Male,Service,India,0,128,nissan,four,sedan,fwd,front,100.4,0.873137914,0.923611111,0.921404682,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,10.68181818,13499,13.82352941,Medium,0,1
12209197,9000,50849.55,3424.95,Male,Retired,Japan,0,108,nissan,four,wagon,fwd,front,100.4,0.887073522,0.923611111,0.93812709,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,10.68181818,14399,13.82352941,Medium,0,1
12196170,20250,33192,1813.5,Male,Govt Job,China,0,108,nissan,four,sedan,fwd,front,100.4,0.887073522,0.923611111,0.921404682,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,9.4,13499,12.36842105,Medium,0,1
12103426,22500,58846.5,3017.7,Female,Service,India,3,194,nissan,two,hatchback,rwd,front,91.3,0.820278712,0.943055556,0.831103679,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,9.4,17199,12.36842105,Medium,0,1
12127046,27000,53366.85,4003.2,Female,Commercial,USA,3,194,nissan,two,hatchback,rwd,front,91.3,0.820278712,0.943055556,0.831103679,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,10.2173913,19699,13.82352941,High,0,1
12172658,11250,13500,1467,Female,Service,Japan,1,231,nissan,two,hatchback,rwd,front,99.2,0.857760692,0.943055556,0.831103679,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,9.4,18399,12.36842105,Medium,0,1
12158886,27000,55380.6,2677.05,Male,Retired,India,0,161,peugot,four,sedan,rwd,front,107.9,0.897164825,0.95,0.948160535,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,9.791666667,11900,12.36842105,Low,0,1
12167610,13500,15282,1737,Male,Service,USA,0,161,peugot,four,sedan,rwd,front,107.9,0.897164825,0.95,0.948160535,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,7.121212121,13200,8.392857143,Low,1,0
12143284,18000,75519,2889.45,Male,Govt Job,China,0,122,peugot,four,wagon,rwd,front,114.2,0.955790485,0.95,0.981605351,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,9.791666667,12440,12.36842105,Low,0,1
12134948,11250,22500,1804.05,Female,Service,USA,0,122,peugot,four,wagon,rwd,front,114.2,0.955790485,0.95,0.981605351,3430,l,four,152,idi,3.7,3.52,21,95,4150,25,9.4,13860,9.4,Low,1,0
12126145,18000,59256,3593.7,Female,Service,USA,0,161,peugot,four,sedan,rwd,front,107.9,0.897164825,0.95,0.948160535,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,9.791666667,15580,12.36842105,Low,0,1
12134016,36000,27450,1847.25,Female,Govt Job,China,0,161,peugot,four,sedan,rwd,front,107.9,0.897164825,0.95,0.948160535,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,7.121212121,16900,8.392857143,Low,1,0
